iteration,state,rewards,count
1,[0 0 0 2 0 1 0 0],"{0: '8.5', 1: '7.5'}",1
2,[0 0 1 0 1 0 0 2],"{0: '6.681426814268142', 1: '6.666666666666666'}",2
4,[0 0 0 2 2 2 0 0],"{0: '5.092250922509225', 1: '5.0'}",2
7,[0 0 0 1 2 0 2 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",3
8,[0 0 1 0 2 0 0 0],"{0: '8.5', 1: '7.5'}",1
9,[0 0 0 0 1 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
10,[0 0 1 0 0 0 2 0],"{0: '8.5', 1: '7.5'}",1
11,[0 0 2 0 0 1 0 0],"{0: '8.5', 1: '7.5'}",1
12,[0 0 2 0 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
13,[0 0 0 0 2 1 0 0],"{0: '8.5', 1: '7.5'}",1
15,[0 0 0 0 2 0 1 1],"{0: '6.681426814268142', 1: '6.666666666666666'}",2
17,[2 0 1 0 0 0 0 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",2
18,[0 0 0 0 1 0 2 0],"{0: '8.5', 1: '7.5'}",1
19,[0 0 0 0 0 1 0 2],"{0: '8.5', 1: '7.5'}",1
20,[0 0 0 0 1 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
21,[0 0 0 0 0 0 1 2],"{0: '8.5', 1: '7.5'}",1
22,[0 0 1 0 0 0 0 2],"{0: '8.5', 1: '7.5'}",1
25,[0 1 0 0 0 0 2 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",3
26,[2 0 0 0 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
27,[1 0 0 2 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
28,[0 0 0 0 1 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
33,[0 0 2 2 0 0 0 2],"{0: '5.014760147601476', 1: '5.0'}",5
34,[0 0 0 2 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
39,[1 0 2 2 0 0 0 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",5
41,[0 0 0 2 0 1 0 0],"{0: '7.592250922509225', 1: '7.5'}",2
46,[0 0 2 2 0 1 0 0],"{0: '5.84809348093481', 1: '5.833333333333334'}",5
48,[0 0 0 2 0 0 1 0],"{0: '7.592250922509225', 1: '7.5'}",2
66,[0 2 0 2 2 0 0 0],"{0: '5.014760147601476', 1: '5.0'}",18
67,[0 0 0 2 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
74,[0 0 0 2 0 0 0 1],"{0: '7.592250922509225', 1: '7.5'}",7
79,[0 0 0 2 2 0 0 2],"{0: '5.014760147601476', 1: '5.0'}",5
93,[0 0 0 2 0 1 0 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",14
94,[0 0 0 2 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
119,[1 0 0 2 0 0 0 0],"{0: '7.592250922509225', 1: '7.5'}",25
128,[0 2 0 2 0 2 0 0],"{0: '5.014760147601476', 1: '5.0'}",9
133,[0 1 0 2 0 0 0 2],"{0: '5.84809348093481', 1: '5.833333333333334'}",5
134,[0 0 0 2 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
147,[0 2 0 2 0 0 2 0],"{0: '5.014760147601476', 1: '5.0'}",13
148,[0 0 0 2 1 0 0 0],"{0: '8.5', 1: '7.5'}",1
151,[0 0 0 2 0 0 1 0],"{0: '7.592250922509225', 1: '7.5'}",3
158,[0 0 2 2 0 2 0 0],"{0: '5.014760147601476', 1: '5.0'}",7
166,[0 0 1 2 0 0 0 0],"{0: '7.592250922509225', 1: '7.5'}",8
174,[0 0 0 2 2 0 0 2],"{0: '5.014760147601476', 1: '5.0'}",8
176,[0 0 1 2 0 0 0 0],"{0: '7.592250922509225', 1: '7.5'}",2
180,[0 0 0 2 1 0 0 0],"{0: '7.592250922509225', 1: '7.5'}",4
