iteration,state,rewards,count
1,[1 0 0 0 0 0 0 2],"{0: '7.25', 1: '6.25'}",1
4,[1 0 2 0 0 1 0 2],"{0: '2.5', 1: '2.5'}",3
6,[1 2 0 0 1 0 2 0],"{0: '2.5', 1: '2.5'}",2
7,[1 0 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
8,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
9,[0 0 0 0 2 0 1 0],"{0: '7.25', 1: '6.25'}",1
10,[0 0 0 2 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
11,[0 0 0 1 0 1 0 0],"{0: '8.5', 1: '7.5'}",1
12,[1 0 0 0 0 2 0 0],"{0: '7.25', 1: '6.25'}",1
13,[2 0 0 0 0 0 1 0],"{0: '7.25', 1: '6.25'}",1
16,[0 1 1 1 2 0 0 0],"{0: '3.75', 1: '3.75'}",3
19,[2 0 2 0 0 1 0 2],"{0: '1.25', 1: '1.25'}",3
25,[0 0 0 1 1 1 1 2],"{0: '2.5', 1: '2.5'}",6
30,[2 0 0 0 0 1 0 0],"{0: '6.25', 1: '6.25'}",5
35,[0 0 2 0 0 1 1 1],"{0: '3.75', 1: '3.75'}",5
1,[0 0 0 1 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
3,[1 2 2 0 0 1 0 0],"{0: '2.5', 1: '2.5'}",2
5,[1 0 0 0 1 1 1 0],"{0: '5.0', 1: '5.0'}",2
6,[1 0 1 0 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
12,[0 2 2 1 1 2 2 2],"{0: '-5.0', 1: '-5.0'}",6
13,[1 0 0 2 0 0 0 0],"{0: '7.25', 1: '6.25'}",1
14,[0 1 0 0 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
19,[1 2 1 0 0 1 2 1],"{0: '0.0', 1: '0.0'}",5
22,[1 2 1 0 2 1 0 1],"{0: '0.0', 1: '0.0'}",3
23,[1 0 0 0 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
24,[0 0 0 0 1 2 0 0],"{0: '7.25', 1: '6.25'}",1
26,[0 0 1 0 2 2 0 0],"{0: '3.75', 1: '3.75'}",2
34,[0 1 1 2 2 0 2 2],"{0: '-2.5', 1: '-2.5'}",8
36,[0 0 1 0 0 0 2 2],"{0: '3.75', 1: '3.75'}",2
39,[1 0 1 0 0 0 2 2],"{0: '2.5', 1: '2.5'}",3
46,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",7
52,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",6
55,[1 0 1 0 2 0 0 0],"{0: '5.0', 1: '5.0'}",3
91,[1 1 1 0 2 0 0 1],"{0: '2.5', 1: '2.5'}",36
113,[2 2 1 0 1 0 1 2],"{0: '-1.25', 1: '-1.25'}",22
128,[0 1 1 0 0 2 0 0],"{0: '5.0', 1: '5.0'}",15
148,[0 0 1 0 2 1 0 0],"{0: '5.0', 1: '5.0'}",20
151,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",3
160,[0 0 1 0 0 0 2 2],"{0: '3.75', 1: '3.75'}",9
165,[0 2 1 0 0 2 0 0],"{0: '3.75', 1: '3.75'}",5
187,[0 1 1 0 2 0 1 0],"{0: '3.75', 1: '3.75'}",22
258,[1 1 1 0 2 2 1 0],"{0: '0.0', 1: '0.0'}",71
263,[0 0 1 2 1 0 0 0],"{0: '5.0', 1: '5.0'}",5
278,[0 2 1 2 1 0 0 2],"{0: '0.0', 1: '0.0'}",15
284,[2 0 1 0 2 0 0 0],"{0: '3.75', 1: '3.75'}",6
296,[0 0 1 0 2 1 0 0],"{0: '5.0', 1: '5.0'}",12
305,[0 2 1 0 0 1 0 0],"{0: '5.0', 1: '5.0'}",9
311,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",6
324,[1 0 1 0 2 0 0 0],"{0: '5.0', 1: '5.0'}",13
332,[0 1 1 2 0 0 0 0],"{0: '5.0', 1: '5.0'}",8
341,[0 0 1 1 2 0 0 0],"{0: '5.0', 1: '5.0'}",9
357,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",16
373,[0 0 1 0 1 1 0 0],"{0: '6.25', 1: '6.25'}",16
396,[2 0 1 1 0 0 0 2],"{0: '2.5', 1: '2.5'}",23
411,[2 0 1 0 1 0 1 2],"{0: '1.25', 1: '1.25'}",15
415,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",4
417,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",2
428,[0 2 1 1 0 0 0 0],"{0: '5.0', 1: '5.0'}",11
440,[0 0 1 2 1 0 0 0],"{0: '5.0', 1: '5.0'}",12
458,[1 0 1 0 0 0 0 2],"{0: '5.0', 1: '5.0'}",18
484,[0 1 1 2 0 0 0 1],"{0: '3.75', 1: '3.75'}",26
489,[0 2 1 2 0 0 0 0],"{0: '3.75', 1: '3.75'}",5
606,[0 1 1 2 1 2 1 2],"{0: '-2.5', 1: '-2.5'}",117
610,[1 0 1 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",4
617,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",7
632,[0 1 1 0 0 2 0 0],"{0: '5.0', 1: '5.0'}",15
687,[2 2 1 2 2 2 2 1],"{0: '-7.5', 1: '-7.5'}",55
692,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",5
695,[0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",3
720,[2 0 1 2 0 0 0 2],"{0: '1.25', 1: '1.25'}",25
782,[0 2 1 1 2 2 1 2],"{0: '-3.75', 1: '-3.75'}",62
785,[2 0 1 0 0 0 0 0],"{0: '6.25', 1: '6.25'}",3
797,[0 0 1 0 0 0 2 0],"{0: '6.25', 1: '6.25'}",12
827,[0 1 1 2 2 0 0 2],"{0: '0.0', 1: '0.0'}",30
