iteration,state,rewards,count
2,[0 1 0 0 0 1 0 1 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",2
4,[0 0 1 0 1 0 0 1 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",2
6,[0 0 1 0 1 1 0 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",2
9,[0 0 0 0 1 0 1 0 1 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",3
11,[0 1 0 1 1 0 0 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",2
14,[0 0 1 0 1 1 0 0 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",3
16,[0 1 1 1 0 0 1 0 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",2
18,[0 0 1 0 1 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",2
26,[1 1 1 1 1 0 0 0 0 1 0 0],"{0: '5.005235602094241', 1: '5.0'}",8
30,[0 1 1 0 1 1 0 0 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",4
33,[0 0 0 0 1 1 0 0 0 1 0 0],"{0: '7.505235602094241', 1: '7.5'}",3
38,[0 0 1 0 1 0 0 1 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",5
56,[1 1 1 0 1 0 0 1 0 0 0 0],"{0: '5.843804537521816', 1: '5.833333333333334'}",18
71,[0 0 1 0 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",15
85,[0 1 0 1 1 1 0 0 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",14
109,[1 0 1 0 1 0 1 0 0 1 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",24
124,[0 0 0 0 1 1 0 1 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",15
144,[0 0 0 0 1 0 1 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",20
153,[0 0 1 1 1 0 0 0 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",9
165,[0 1 1 0 1 0 0 0 1 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",12
174,[0 1 1 0 1 0 0 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",9
191,[1 0 0 0 1 0 0 0 0 0 1 0],"{0: '7.515706806282722', 1: '7.5'}",17
203,[0 1 0 1 1 0 0 0 0 1 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",12
218,[0 1 0 1 1 0 0 0 0 1 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",15
226,[1 0 0 0 1 1 0 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",8
236,[0 0 0 1 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",10
240,[0 0 0 0 1 0 0 1 1 0 0 0],"{0: '7.5', 1: '7.5'}",4
249,[0 0 0 0 1 0 0 1 0 0 1 0],"{0: '7.505235602094241', 1: '7.5'}",9
254,[1 0 0 0 1 0 0 0 0 0 0 1],"{0: '7.515706806282722', 1: '7.5'}",5
267,[0 0 1 0 1 0 0 1 0 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",13
308,[1 1 0 0 1 0 1 0 0 1 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",41
314,[1 0 1 0 1 0 0 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",6
330,[0 0 0 0 1 0 0 0 1 0 1 0],"{0: '7.5', 1: '7.5'}",16
343,[0 0 0 1 1 1 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",13
361,[0 0 1 0 1 1 0 0 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",18
370,[0 1 0 0 1 0 0 0 0 0 0 1],"{0: '7.510471204188482', 1: '7.5'}",9
379,[0 0 1 0 1 1 1 0 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",9
396,[0 0 0 0 1 1 0 0 1 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",17
409,[0 0 0 0 1 0 1 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",13
420,[0 1 0 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",11
427,[0 1 0 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",7
444,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",17
462,[1 0 0 1 1 1 0 0 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",18
477,[0 0 0 0 1 1 0 0 0 1 0 0],"{0: '7.510471204188482', 1: '7.5'}",15
485,[1 0 0 0 1 0 0 0 1 0 0 0],"{0: '7.515706806282722', 1: '7.5'}",8
498,[1 0 0 1 1 0 0 0 0 1 0 1],"{0: '5.843804537521816', 1: '5.833333333333334'}",13
512,[0 1 0 0 1 1 0 0 0 1 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",14
516,[0 0 0 1 1 1 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",4
541,[1 0 1 0 1 0 0 0 0 1 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",25
559,[0 1 0 0 1 0 0 1 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",18
580,[1 0 0 0 1 0 1 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",21
584,[1 0 0 0 1 0 0 0 0 0 0 1],"{0: '7.5', 1: '7.5'}",4
589,[0 1 0 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",5
601,[1 0 0 0 1 0 1 0 0 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",12
626,[0 1 0 0 1 0 0 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",25
645,[1 0 0 0 1 0 0 0 0 0 1 0],"{0: '7.515706806282722', 1: '7.5'}",19
647,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",2
655,[0 0 0 1 1 1 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",8
662,[1 0 0 1 1 0 0 0 0 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",7
670,[1 0 0 0 1 0 0 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",8
679,[1 0 0 0 1 1 0 0 0 0 0 1],"{0: '6.671902268760907', 1: '6.666666666666666'}",9
724,[0 0 0 1 1 0 0 0 0 0 0 1],"{0: '7.5', 1: '7.5'}",45
737,[0 0 1 0 1 0 1 0 1 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",13
754,[0 1 1 0 1 0 0 1 0 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",17
765,[1 0 0 0 1 0 0 0 0 0 1 0],"{0: '7.515706806282722', 1: '7.5'}",11
794,[1 0 0 0 1 1 0 0 0 0 1 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",29
812,[1 0 0 0 1 0 0 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",18
825,[0 0 0 0 1 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",13
836,[1 0 1 0 1 0 1 0 0 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",11
854,[0 1 1 0 1 0 0 0 0 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",18
875,[0 0 0 0 1 0 1 0 1 0 0 0],"{0: '7.510471204188482', 1: '7.5'}",21
883,[0 0 0 0 1 0 1 0 0 0 0 1],"{0: '7.510471204188482', 1: '7.5'}",8
