iteration,state,rewards,count
2,[0 1 0 1 0 0 0 0 0 1 0 0],"{0: '7.515706806282722', 1: '7.5'}",2
4,[0 0 0 0 1 1 1 0 0 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",2
6,[0 0 1 0 0 0 0 0 0 1 1 0],"{0: '7.510471204188482', 1: '7.5'}",2
8,[0 0 0 1 1 1 0 0 0 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",2
11,[0 0 1 1 0 0 0 1 0 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",3
13,[0 0 1 0 1 0 1 0 1 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",2
15,[0 0 0 0 1 0 0 1 0 1 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",2
18,[1 0 1 0 0 0 0 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",3
21,[0 0 1 0 1 1 1 0 0 0 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",3
25,[1 0 1 0 0 0 0 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",4
27,[0 0 1 1 0 0 0 0 1 0 1 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",2
29,[0 1 0 0 0 0 1 0 0 0 1 0],"{0: '7.5', 1: '7.5'}",2
32,[1 0 1 0 0 0 1 0 0 1 1 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",3
43,[0 0 1 0 1 0 0 1 0 0 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",11
53,[1 0 0 0 0 0 0 1 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",10
72,[0 0 1 0 0 0 0 0 1 0 1 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",19
83,[0 0 0 1 0 0 0 0 1 0 1 0],"{0: '7.5', 1: '7.5'}",11
94,[1 1 0 0 0 0 0 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",11
