iteration,state,rewards,count
1,[1 0 0 1 0 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
2,[0 0 0 1 1 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
3,[0 0 1 0 0 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
2,[1 0 1 0 0 1 0 1 0 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",2
4,[0 0 1 0 0 0 1 0 0 1 1 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",2
6,[0 1 0 0 1 0 1 0 1 0 0 0],"{0: '6.677137870855148', 1: '6.666666666666666'}",2
8,[0 0 0 1 0 1 0 0 0 1 0 0],"{0: '7.5', 1: '7.5'}",2
10,[0 0 0 1 0 0 1 0 1 0 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",2
12,[0 0 0 0 1 0 0 1 0 1 0 0],"{0: '7.520942408376963', 1: '7.5'}",2
14,[1 0 0 1 1 0 0 1 0 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",2
17,[0 1 0 0 0 0 0 1 0 1 0 1],"{0: '6.666666666666666', 1: '6.666666666666666'}",3
21,[1 1 1 0 1 0 0 0 1 0 0 1],"{0: '5.020942408376963', 1: '5.0'}",4
26,[0 1 0 0 0 0 1 1 0 1 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",5
29,[0 1 0 0 0 0 0 1 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",3
33,[1 1 0 0 0 0 0 0 0 1 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",4
39,[0 1 1 1 0 0 1 0 0 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",6
64,[0 1 0 1 0 1 1 0 0 1 0 0],"{0: '5.854275741710297', 1: '5.833333333333334'}",25
117,[0 1 0 1 0 0 0 0 1 0 1 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",53
133,[1 1 1 0 0 0 0 0 0 1 0 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",16
136,[0 1 0 0 0 0 1 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",3
158,[0 1 0 0 0 1 1 1 0 0 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",22
189,[1 1 0 0 0 0 0 1 0 1 0 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",31
194,[0 1 1 0 0 1 0 0 0 1 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",5
201,[0 1 0 0 0 1 0 0 1 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",7
223,[0 1 0 0 0 0 1 0 1 1 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",22
237,[0 1 1 1 0 0 1 0 0 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",14
239,[0 1 0 1 0 0 0 0 0 1 0 0],"{0: '7.515706806282722', 1: '7.5'}",2
247,[0 1 0 1 0 0 0 0 0 1 0 0],"{0: '7.5', 1: '7.5'}",8
253,[0 1 0 0 1 0 1 1 0 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",6
259,[0 1 0 1 0 1 0 0 0 0 0 0],"{0: '7.5', 1: '7.5'}",6
292,[1 1 0 1 1 1 0 0 1 1 0 0],"{0: '4.182373472949389', 1: '4.166666666666667'}",33
294,[0 1 0 0 1 0 0 1 0 0 0 0],"{0: '7.5', 1: '7.5'}",2
300,[0 1 0 0 0 1 1 1 0 0 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",6
303,[0 1 0 1 1 0 1 0 0 0 0 0],"{0: '6.666666666666666', 1: '6.666666666666666'}",3
350,[1 1 1 1 0 0 1 0 1 0 0 0],"{0: '5.005235602094241', 1: '5.0'}",47
374,[0 1 1 0 0 1 0 0 1 0 0 0],"{0: '6.682373472949388', 1: '6.666666666666666'}",24
429,[0 1 1 1 0 1 0 1 1 1 0 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",55
454,[0 1 0 1 1 1 0 0 0 0 0 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",25
472,[0 1 1 0 0 0 1 0 1 0 0 0],"{0: '6.671902268760907', 1: '6.666666666666666'}",18
