iteration,state,rewards,count
1,[2 0 0 0 0 0 1 0],"{0: '7.25', 1: '6.25'}",1
2,[2 0 0 0 0 2 0 0],"{0: '6.0', 1: '5.0'}",1
3,[0 2 0 0 2 0 0 0],"{0: '6.0', 1: '5.0'}",1
4,[0 2 0 2 0 0 0 0],"{0: '6.0', 1: '5.0'}",1
5,[0 0 1 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
6,[0 2 2 0 0 0 0 0],"{0: '6.0', 1: '5.0'}",1
7,[0 0 0 0 1 0 0 1],"{0: '8.5', 1: '7.5'}",1
8,[0 0 0 2 1 0 0 0],"{0: '7.25', 1: '6.25'}",1
9,[0 0 0 0 1 2 0 0],"{0: '7.25', 1: '6.25'}",1
10,[0 0 0 0 0 2 1 0],"{0: '7.25', 1: '6.25'}",1
11,[0 0 0 1 2 0 0 0],"{0: '7.25', 1: '6.25'}",1
12,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
13,[0 0 0 0 2 0 0 2],"{0: '6.0', 1: '5.0'}",1
14,[0 0 0 0 1 0 2 0],"{0: '7.25', 1: '6.25'}",1
15,[2 0 2 0 0 0 0 0],"{0: '6.0', 1: '5.0'}",1
16,[0 0 1 0 0 1 0 0],"{0: '8.5', 1: '7.5'}",1
17,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
18,[0 0 0 0 0 1 1 0],"{0: '8.5', 1: '7.5'}",1
19,[2 0 0 0 2 0 0 0],"{0: '6.0', 1: '5.0'}",1
20,[2 0 1 0 0 0 0 0],"{0: '7.25', 1: '6.25'}",1
21,[1 0 0 0 0 2 0 0],"{0: '7.25', 1: '6.25'}",1
22,[2 0 0 1 0 0 0 0],"{0: '7.25', 1: '6.25'}",1
23,[0 1 0 0 0 2 0 0],"{0: '7.25', 1: '6.25'}",1
24,[0 0 0 1 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
25,[2 0 0 0 1 0 0 0],"{0: '7.25', 1: '6.25'}",1
26,[2 0 0 0 0 1 0 0],"{0: '7.25', 1: '6.25'}",1
27,[2 0 0 1 0 0 0 0],"{0: '7.25', 1: '6.25'}",1
