iteration,state,rewards,count
1,[0 0 0 0 0 0 1 0],"{0: '9.75', 1: '8.75'}",1
2,[0 0 1 0 0 0 2 0],"{0: '7.25', 1: '6.25'}",1
3,[1 0 0 0 0 0 0 1],"{0: '8.5', 1: '7.5'}",1
4,[0 0 0 1 1 0 0 0],"{0: '8.5', 1: '7.5'}",1
5,[0 0 0 0 0 0 1 1],"{0: '8.5', 1: '7.5'}",1
6,[0 0 1 0 0 2 0 0],"{0: '7.25', 1: '6.25'}",1
7,[0 0 0 0 2 0 0 1],"{0: '7.25', 1: '6.25'}",1
8,[0 0 0 1 0 0 0 2],"{0: '7.25', 1: '6.25'}",1
9,[0 0 0 0 0 0 1 2],"{0: '7.25', 1: '6.25'}",1
10,[0 0 0 0 2 1 0 0],"{0: '7.25', 1: '6.25'}",1
11,[1 0 0 0 0 0 0 0],"{0: '9.75', 1: '8.75'}",1
12,[1 0 2 0 0 0 0 0],"{0: '7.25', 1: '6.25'}",1
13,[0 0 0 1 0 1 0 0],"{0: '8.5', 1: '7.5'}",1
14,[0 0 0 0 0 2 1 0],"{0: '7.25', 1: '6.25'}",1
15,[0 1 0 0 0 2 0 0],"{0: '7.25', 1: '6.25'}",1
16,[2 0 0 0 0 2 0 0],"{0: '6.0', 1: '5.0'}",1
17,[0 0 0 2 0 2 0 0],"{0: '6.0', 1: '5.0'}",1
18,[0 0 0 0 0 2 0 1],"{0: '7.25', 1: '6.25'}",1
19,[0 0 0 0 2 0 0 0],"{0: '8.5', 1: '7.5'}",1
20,[0 2 0 0 2 0 0 0],"{0: '6.0', 1: '5.0'}",1
21,[0 0 0 0 0 1 1 0],"{0: '8.5', 1: '7.5'}",1
22,[0 0 1 0 2 0 0 0],"{0: '7.25', 1: '6.25'}",1
23,[0 0 0 0 2 0 0 0],"{0: '8.5', 1: '7.5'}",1
24,[0 0 0 0 2 0 0 2],"{0: '6.0', 1: '5.0'}",1
25,[0 0 1 0 0 0 2 0],"{0: '7.25', 1: '6.25'}",1
26,[1 0 0 0 0 0 2 0],"{0: '7.25', 1: '6.25'}",1
27,[1 0 0 0 0 1 0 0],"{0: '8.5', 1: '7.5'}",1
28,[1 0 0 0 0 0 0 0],"{0: '9.75', 1: '8.75'}",1
29,[1 0 0 0 0 0 0 0],"{0: '9.75', 1: '8.75'}",1
30,[1 0 0 0 0 1 0 0],"{0: '8.5', 1: '7.5'}",1
31,[1 0 0 0 0 0 0 0],"{0: '9.75', 1: '8.75'}",1
32,[0 0 0 1 0 1 0 0],"{0: '8.5', 1: '7.5'}",1
33,[0 0 0 1 0 0 0 0],"{0: '9.75', 1: '8.75'}",1
34,[1 0 0 0 1 0 0 0],"{0: '8.5', 1: '7.5'}",1
35,[1 0 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
36,[1 0 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
37,[1 0 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
38,[0 0 1 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
39,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
40,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
41,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
42,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
43,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
44,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
45,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
46,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
47,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
48,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
49,[0 1 0 1 0 0 0 0],"{0: '8.5', 1: '7.5'}",1
50,[0 2 0 0 2 0 0 0],"{0: '6.0', 1: '5.0'}",1
51,[0 0 0 1 2 0 0 0],"{0: '7.25', 1: '6.25'}",1
52,[0 0 0 1 2 0 0 0],"{0: '7.25', 1: '6.25'}",1
53,[0 0 0 1 2 0 0 0],"{0: '7.25', 1: '6.25'}",1
54,[0 0 0 0 0 0 1 1],"{0: '8.5', 1: '7.5'}",1
55,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
56,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
57,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
58,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
59,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
60,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
61,[0 0 0 1 0 0 1 0],"{0: '8.5', 1: '7.5'}",1
62,[0 0 0 0 0 2 1 0],"{0: '7.25', 1: '6.25'}",1
63,[0 0 0 0 0 2 2 0],"{0: '6.0', 1: '5.0'}",1
64,[0 0 0 0 0 2 1 0],"{0: '7.25', 1: '6.25'}",1
65,[0 0 0 0 0 2 1 0],"{0: '7.25', 1: '6.25'}",1
66,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
67,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
68,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
69,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
70,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
71,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
72,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
73,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
74,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
75,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
76,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
77,[0 0 0 0 0 2 2 0],"{0: '6.0', 1: '5.0'}",1
78,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
79,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
80,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
81,[0 0 0 2 2 0 0 0],"{0: '6.0', 1: '5.0'}",1
82,[1 0 0 0 2 0 0 0],"{0: '7.25', 1: '6.25'}",1
83,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
84,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
85,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
86,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
87,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
88,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
89,[0 0 0 0 2 2 0 0],"{0: '6.0', 1: '5.0'}",1
