iteration,state,rewards,count
2,[0 0 0 0 1 0 1 1 0 0 0 1],"{0: '6.703315881326352', 1: '6.666666666666666'}",2
5,[1 0 0 0 0 1 1 0 0 0 1 1],"{0: '5.849040139616056', 1: '5.833333333333334'}",3
1,[0 0 0 0 1 0 1 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
2,[0 0 0 0 0 0 1 0 0 1 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
3,[0 0 0 0 0 0 0 0 0 1 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
4,[0 0 0 0 1 0 0 0 0 0 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
5,[0 0 0 1 0 1 0 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
6,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
7,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
8,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
9,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
10,[0 0 0 0 0 0 0 0 0 1 0 1],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
11,[0 0 0 0 0 0 0 0 1 1 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
14,[0 1 0 0 1 0 0 0 0 1 1 1],"{0: '1.1719022687609075', 1: '1.1666666666666667'}",3
15,[0 0 0 0 1 0 0 0 1 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
1,[0 0 0 0 0 0 1 0 1 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
2,[0 0 0 0 1 0 0 0 1 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
3,[0 1 0 0 0 1 0 0 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
5,[1 0 0 0 1 0 0 1 0 0 0 0],"{0: '1.5104712041884816', 1: '1.5'}",2
6,[0 0 0 0 0 0 0 1 1 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
7,[0 0 1 0 0 0 0 0 1 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
9,[0 0 0 0 0 0 0 0 1 0 1 1],"{0: '1.5', 1: '1.5'}",2
10,[0 0 0 1 0 0 0 1 0 0 0 0],"{0: '2.666666666666667', 1: '1.6666666666666667'}",1
12,[0 0 1 0 0 0 1 0 0 0 1 0],"{0: '1.5104712041884816', 1: '1.5'}",2
