iteration,state,rewards,count
4,[1 0 1 1 0 0 0 1 1 1 1 0],"{0: '4.166666666666667', 1: '4.166666666666667'}",4
6,[1 0 0 0 0 0 0 0 1 1 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",2
7,[0 0 0 0 0 0 0 0 0 1 1 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
16,[1 1 1 1 1 1 1 0 0 0 1 1],"{0: '2.505235602094241', 1: '2.5'}",9
23,[1 1 0 0 1 1 0 1 1 0 1 1],"{0: '3.333333333333333', 1: '3.333333333333333'}",7
39,[1 1 1 1 0 1 0 0 0 1 1 1],"{0: '3.338568935427574', 1: '3.333333333333333'}",16
54,[1 0 1 0 0 1 0 0 1 0 0 1],"{0: '5.849040139616056', 1: '5.833333333333334'}",15
72,[0 0 0 1 1 1 1 0 1 0 1 0],"{0: '5.005235602094241', 1: '5.0'}",18
106,[1 0 0 0 0 1 1 0 1 1 0 1],"{0: '5.0', 1: '5.0'}",34
130,[0 1 0 0 0 1 0 1 0 0 0 1],"{0: '6.677137870855148', 1: '6.666666666666666'}",24
147,[0 0 0 1 0 1 1 1 0 0 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",17
156,[1 0 0 0 0 1 1 0 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",9
170,[0 0 0 0 0 1 1 0 0 0 1 1],"{0: '6.69284467713787', 1: '6.666666666666666'}",14
209,[1 1 0 1 0 1 0 0 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",39
238,[0 1 0 0 1 1 0 0 0 0 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",29
243,[0 0 0 0 1 1 0 1 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",5
362,[1 1 1 0 1 1 1 1 1 1 1 0],"{0: '1.6719022687609073', 1: '1.6666666666666665'}",119
383,[0 0 1 0 0 1 1 0 0 1 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",21
412,[1 0 1 1 0 1 1 0 0 1 0 1],"{0: '4.166666666666667', 1: '4.166666666666667'}",29
429,[1 1 0 0 1 1 0 1 0 0 0 0],"{0: '5.849040139616056', 1: '5.833333333333334'}",17
468,[1 1 1 1 0 1 0 0 0 0 1 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",39
475,[0 1 0 0 0 1 0 1 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",7
492,[0 0 1 0 1 1 1 0 0 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",17
520,[1 1 0 0 0 1 0 0 0 1 1 1],"{0: '5.005235602094241', 1: '5.0'}",28
561,[1 0 0 0 0 1 0 1 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",41
562,[0 0 0 0 0 1 0 0 0 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
578,[0 0 0 1 0 1 1 0 1 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",16
611,[1 1 0 1 0 1 0 0 0 1 0 0],"{0: '5.854275741710297', 1: '5.833333333333334'}",33
702,[1 0 1 0 1 1 1 0 0 1 1 1],"{0: '3.333333333333333', 1: '3.333333333333333'}",91
715,[0 1 1 0 0 1 0 0 0 0 1 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",13
726,[0 0 0 0 0 1 0 1 0 1 1 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",11
758,[1 0 0 0 1 1 0 1 1 1 1 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",32
769,[1 0 0 0 1 1 0 1 1 0 1 0],"{0: '5.005235602094241', 1: '5.0'}",11
782,[0 0 1 1 1 1 0 0 1 0 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",13
794,[1 0 1 1 0 1 0 0 0 0 0 1],"{0: '5.854275741710297', 1: '5.833333333333334'}",12
805,[0 1 0 1 0 1 0 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",11
817,[0 1 1 0 1 1 1 0 0 0 0 0],"{0: '5.864746945898779', 1: '5.833333333333334'}",12
835,[1 0 1 0 1 1 0 1 0 0 0 0],"{0: '5.838568935427575', 1: '5.833333333333334'}",18
858,[1 0 1 1 1 1 0 0 0 0 0 1],"{0: '5.005235602094241', 1: '5.0'}",23
880,[0 1 0 0 1 1 1 0 0 1 1 1],"{0: '4.166666666666667', 1: '4.166666666666667'}",22
891,[1 1 0 0 0 1 0 0 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",11
904,[0 0 0 0 0 1 1 1 0 0 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",13
925,[1 0 1 1 0 1 0 0 1 1 0 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",21
943,[0 1 0 0 1 1 0 0 0 0 1 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",18
964,[0 1 0 0 1 1 0 0 0 0 1 0],"{0: '6.687609075043629', 1: '6.666666666666666'}",21
967,[0 1 0 0 1 1 0 1 0 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",3
998,[1 1 0 0 1 1 0 1 1 1 0 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",31
1015,[0 0 0 0 0 1 1 0 1 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",17
1049,[1 0 0 0 1 1 0 0 1 0 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",34
1054,[1 0 0 0 0 1 1 0 1 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",5
1109,[0 1 1 0 1 1 0 0 1 0 1 0],"{0: '5.005235602094241', 1: '5.0'}",55
1114,[0 0 1 1 0 1 0 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",5
1183,[0 1 1 0 0 1 1 1 0 0 1 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",69
1263,[1 1 1 1 1 1 1 1 1 0 0 1],"{0: '1.6666666666666665', 1: '1.6666666666666665'}",80
1277,[0 0 0 0 0 1 0 1 1 1 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",14
1307,[1 0 0 0 0 1 0 0 1 0 1 1],"{0: '5.833333333333334', 1: '5.833333333333334'}",30
1318,[1 0 0 1 0 1 0 0 0 1 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",11
1341,[1 1 0 0 0 1 0 0 1 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",23
1379,[0 1 1 1 0 1 0 1 1 1 1 1],"{0: '2.5', 1: '2.5'}",38
1395,[0 1 0 0 1 1 1 1 0 0 0 1],"{0: '5.0', 1: '5.0'}",16
1403,[0 1 1 0 0 1 0 0 1 1 0 0],"{0: '5.833333333333334', 1: '5.833333333333334'}",8
1422,[0 0 0 0 1 1 1 0 0 1 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",19
1478,[1 0 0 1 1 1 0 0 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",56
1547,[1 0 1 0 0 1 0 1 0 1 0 1],"{0: '5.0', 1: '5.0'}",69
1563,[0 1 0 1 0 1 0 1 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",16
1605,[0 0 0 0 1 1 1 0 1 0 0 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",42
1678,[1 1 0 0 1 1 1 1 1 1 1 1],"{0: '1.6666666666666665', 1: '1.6666666666666665'}",73
1741,[1 1 1 1 1 1 1 0 0 0 0 1],"{0: '3.338568935427574', 1: '3.333333333333333'}",63
1765,[0 1 1 0 0 1 0 0 0 0 1 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",24
