iteration,state,rewards,count
1,[0 0 0 0 0 1 1 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
2,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
4,[1 0 0 0 0 0 1 0 1 0 0 0],"{0: '7.5', 1: '7.5'}",2
5,[0 0 0 0 1 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
6,[0 1 0 0 1 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
7,[0 0 1 1 0 0 0 0 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
8,[0 0 1 0 0 0 0 0 0 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
9,[0 0 0 0 1 0 0 0 0 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
10,[0 1 0 0 0 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
11,[0 0 1 0 0 0 0 0 0 0 1 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
12,[0 0 0 1 0 0 0 0 0 0 1 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
13,[0 0 0 0 0 1 0 0 0 0 1 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
14,[1 0 0 0 0 0 0 0 0 0 1 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
15,[0 0 0 0 0 0 0 0 1 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
16,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
17,[0 0 0 1 0 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
18,[0 0 1 0 0 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
21,[1 0 0 1 1 0 0 0 0 0 0 0],"{0: '7.505235602094241', 1: '7.5'}",3
23,[1 0 1 0 0 0 0 0 0 0 1 0],"{0: '7.510471204188482', 1: '7.5'}",2
24,[0 0 0 0 0 0 0 0 0 1 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
26,[1 0 0 1 0 0 0 0 0 1 0 0],"{0: '7.510471204188482', 1: '7.5'}",2
29,[1 0 0 0 0 1 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
30,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
32,[1 0 0 0 0 0 0 0 1 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
33,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
34,[0 0 0 0 1 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
35,[1 0 0 0 0 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
37,[1 0 0 0 0 0 0 0 0 0 1 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
38,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
39,[1 0 0 0 0 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
52,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",13
62,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",10
69,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",7
73,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",4
76,[1 0 0 0 0 0 0 0 0 0 1 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
83,[1 0 0 1 0 0 0 0 0 0 0 1],"{0: '7.505235602094241', 1: '7.5'}",7
84,[1 0 0 0 0 0 0 1 0 0 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
95,[1 0 0 0 0 0 0 0 0 0 0 1],"{0: '8.343804537521816', 1: '8.333333333333334'}",11
103,[1 1 0 0 0 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",8
104,[1 0 0 0 0 0 0 0 0 1 0 0],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
106,[1 0 0 0 0 0 1 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",2
109,[1 0 0 0 1 0 0 0 0 0 0 0],"{0: '8.343804537521816', 1: '8.333333333333334'}",3
