iteration,state,rewards,count
4,[1 1 1 1 0 0 0 0 0 1 1 1],"{0: '4.171902268760908', 1: '4.166666666666667'}",4
7,[1 0 0 0 1 1 0 0 1 1 0 1],"{0: '5.041884816753926', 1: '5.0'}",3
13,[0 1 1 0 1 1 1 0 0 0 1 1],"{0: '4.166666666666667', 1: '4.166666666666667'}",6
2,[0 0 1 1 0 1 1 0 0 0 0 0],"{0: '6.708551483420592', 1: '6.666666666666666'}",2
5,[1 0 0 0 0 0 1 1 0 0 1 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",3
8,[1 0 1 0 0 0 0 1 0 1 0 1],"{0: '5.86998254799302', 1: '5.833333333333334'}",3
10,[1 0 1 0 0 0 0 1 0 0 0 1],"{0: '6.698080279232111', 1: '6.666666666666666'}",2
13,[0 1 0 1 0 0 0 1 0 1 1 0],"{0: '5.86998254799302', 1: '5.833333333333334'}",3
15,[0 1 0 0 1 0 0 1 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",2
17,[0 0 1 0 1 0 0 1 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",2
25,[1 0 0 0 1 1 0 1 1 1 0 0],"{0: '5.005235602094241', 1: '5.0'}",8
26,[0 0 0 0 0 0 0 0 1 0 0 1],"{0: '9.333333333333334', 1: '8.333333333333334'}",1
31,[1 0 1 0 0 1 1 1 1 1 0 1],"{0: '3.338568935427574', 1: '3.333333333333333'}",5
43,[1 1 0 0 0 1 1 0 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",12
54,[1 0 0 1 0 1 0 0 0 0 1 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",11
65,[1 0 1 1 0 0 0 0 0 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",11
75,[1 0 0 0 0 0 0 0 1 0 1 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",10
86,[1 0 0 1 0 1 0 0 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",11
109,[1 0 0 0 1 1 0 0 0 0 0 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",23
155,[1 0 1 0 0 0 1 0 1 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",46
168,[1 0 0 0 1 1 1 0 0 0 0 0],"{0: '6.708551483420592', 1: '6.666666666666666'}",13
181,[1 0 1 0 0 1 0 0 0 1 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",13
200,[1 1 0 0 0 0 1 0 0 0 1 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",19
246,[1 0 1 0 1 0 1 0 1 1 1 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",46
273,[1 0 1 0 0 0 0 0 1 1 0 1],"{0: '5.838568935427575', 1: '5.833333333333334'}",27
298,[1 0 0 1 0 1 1 0 1 0 0 1],"{0: '5.0', 1: '5.0'}",25
314,[1 0 0 1 1 1 0 0 0 1 0 1],"{0: '5.005235602094241', 1: '5.0'}",16
338,[1 0 0 0 0 1 0 0 0 0 1 1],"{0: '6.682373472949388', 1: '6.666666666666666'}",24
366,[1 0 1 1 0 0 0 0 0 0 0 1],"{0: '6.687609075043629', 1: '6.666666666666666'}",28
379,[1 0 1 0 0 0 1 1 0 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",13
413,[1 1 0 0 0 1 0 0 0 1 0 1],"{0: '5.838568935427575', 1: '5.833333333333334'}",34
446,[1 0 1 1 1 1 1 0 0 1 0 0],"{0: '4.171902268760908', 1: '4.166666666666667'}",33
454,[1 0 0 0 0 0 0 1 0 1 1 0],"{0: '6.698080279232111', 1: '6.666666666666666'}",8
461,[1 1 0 0 0 1 0 0 1 0 0 0],"{0: '6.69284467713787', 1: '6.666666666666666'}",7
477,[1 0 0 0 0 1 1 0 0 1 0 1],"{0: '5.838568935427575', 1: '5.833333333333334'}",16
536,[1 1 0 1 1 0 0 0 1 1 1 1],"{0: '3.338568935427574', 1: '3.333333333333333'}",59
558,[1 1 1 1 0 0 1 0 1 0 0 0],"{0: '5.005235602094241', 1: '5.0'}",22
572,[1 0 0 0 1 1 1 0 0 0 0 0],"{0: '6.703315881326352', 1: '6.666666666666666'}",14
