#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-31 02:11:38;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1(8): Magnitude;IC1(8): Re;IC1(8): Img
(Hz);(Ω);;
1.00000e+06;2.93095e-01;8.02538e-03;-2.92985e-01
1.10000e+06;2.62112e-01;8.07989e-03;-2.61987e-01
1.20000e+06;2.35921e-01;8.13328e-03;-2.35781e-01
1.30000e+06;2.13418e-01;8.18568e-03;-2.13261e-01
1.40000e+06;1.93812e-01;8.23724e-03;-1.93637e-01
1.50000e+06;1.76524e-01;8.28807e-03;-1.76329e-01
1.60000e+06;1.61120e-01;8.33829e-03;-1.60904e-01
1.70000e+06;1.47269e-01;8.38800e-03;-1.47030e-01
1.80000e+06;1.34711e-01;8.43731e-03;-1.34446e-01
1.90000e+06;1.23243e-01;8.48631e-03;-1.22951e-01
2.00000e+06;1.12703e-01;8.53508e-03;-1.12379e-01
2.10000e+06;1.02958e-01;8.58371e-03;-1.02600e-01
2.20000e+06;9.39021e-02;8.63228e-03;-9.35045e-02
2.30000e+06;8.54456e-02;8.68086e-03;-8.50035e-02
2.40000e+06;7.75157e-02;8.72953e-03;-7.70226e-02
2.50000e+06;7.00512e-02;8.77837e-03;-6.94990e-02
2.60000e+06;6.30013e-02;8.82744e-03;-6.23798e-02
2.70000e+06;5.63238e-02;8.87682e-03;-5.56199e-02
2.80000e+06;4.99839e-02;8.92659e-03;-4.91803e-02
2.90000e+06;4.39543e-02;8.97681e-03;-4.30279e-02
3.00000e+06;3.82151e-02;9.02756e-03;-3.71335e-02
3.10000e+06;3.27552e-02;9.07893e-03;-3.14719e-02
3.20000e+06;2.75765e-02;9.13099e-03;-2.60210e-02
3.30000e+06;2.27018e-02;9.18383e-03;-2.07612e-02
3.40000e+06;1.81949e-02;9.23754e-03;-1.56755e-02
3.50000e+06;1.42083e-02;9.29221e-03;-1.07485e-02
3.60000e+06;1.10898e-02;9.34795e-03;-5.96660e-03
3.70000e+06;9.49672e-03;9.40486e-03;-1.31769e-03
3.80000e+06;9.99240e-03;9.46305e-03;3.20917e-03
3.90000e+06;1.21985e-02;9.52265e-03;7.62380e-03
4.00000e+06;1.53067e-02;9.58379e-03;1.19351e-02
4.10000e+06;1.88126e-02;9.64661e-03;1.61510e-02
4.20000e+06;2.24843e-02;9.71127e-03;2.02790e-02
4.30000e+06;2.62173e-02;9.77794e-03;2.43256e-02
4.40000e+06;2.99614e-02;9.84681e-03;2.82971e-02
4.50000e+06;3.36919e-02;9.91808e-03;3.21990e-02
4.60000e+06;3.73961e-02;9.99197e-03;3.60365e-02
4.70000e+06;4.10678e-02;1.00687e-02;3.98144e-02
4.80000e+06;4.47044e-02;1.01487e-02;4.35372e-02
4.90000e+06;4.83052e-02;1.02320e-02;4.72091e-02
5.00000e+06;5.18707e-02;1.03192e-02;5.08339e-02
5.10000e+06;5.54023e-02;1.04106e-02;5.44154e-02
5.20000e+06;5.89016e-02;1.05066e-02;5.79569e-02
5.30000e+06;6.23706e-02;1.06077e-02;6.14619e-02
5.40000e+06;6.58116e-02;1.07144e-02;6.49335e-02
5.50000e+06;6.92268e-02;1.08274e-02;6.83748e-02
5.60000e+06;7.26186e-02;1.09475e-02;7.17887e-02
5.70000e+06;7.59895e-02;1.10753e-02;7.51781e-02
5.80000e+06;7.93420e-02;1.12120e-02;7.85459e-02
5.90000e+06;8.26787e-02;1.13585e-02;8.18948e-02
6.00000e+06;8.60023e-02;1.15161e-02;8.52278e-02
6.10000e+06;8.93154e-02;1.16863e-02;8.85475e-02
6.20000e+06;9.26209e-02;1.18709e-02;9.18571e-02
6.30000e+06;9.59219e-02;1.20719e-02;9.51592e-02
