#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-15 09:21:45;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC2(8): Magnitude;IC2(8): Re;IC2(8): Img
(Hz);(Ω);;
1.00000e+06;7.53907e-01;6.90488e-03;-7.53875e-01
1.10000e+06;6.80028e-01;6.94151e-03;-6.79993e-01
1.20000e+06;6.18004e-01;6.97979e-03;-6.17965e-01
1.30000e+06;5.65100e-01;7.01906e-03;-5.65056e-01
1.40000e+06;5.19361e-01;7.05886e-03;-5.19313e-01
1.50000e+06;4.79355e-01;7.09890e-03;-4.79302e-01
1.60000e+06;4.44007e-01;7.13896e-03;-4.43949e-01
1.70000e+06;4.12495e-01;7.17890e-03;-4.12432e-01
1.80000e+06;3.84180e-01;7.21862e-03;-3.84112e-01
1.90000e+06;3.58557e-01;7.25805e-03;-3.58483e-01
2.00000e+06;3.35222e-01;7.29716e-03;-3.35143e-01
2.10000e+06;3.13850e-01;7.33590e-03;-3.13764e-01
2.20000e+06;2.94172e-01;7.37426e-03;-2.94079e-01
2.30000e+06;2.75967e-01;7.41224e-03;-2.75867e-01
2.40000e+06;2.59051e-01;7.44983e-03;-2.58944e-01
2.50000e+06;2.43271e-01;7.48702e-03;-2.43155e-01
2.60000e+06;2.28494e-01;7.52382e-03;-2.28370e-01
2.70000e+06;2.14610e-01;7.56025e-03;-2.14476e-01
2.80000e+06;2.01522e-01;7.59629e-03;-2.01379e-01
2.90000e+06;1.89150e-01;7.63198e-03;-1.88996e-01
3.00000e+06;1.77421e-01;7.66730e-03;-1.77255e-01
3.10000e+06;1.66273e-01;7.70228e-03;-1.66094e-01
3.20000e+06;1.55652e-01;7.73692e-03;-1.55459e-01
3.30000e+06;1.45510e-01;7.77124e-03;-1.45303e-01
3.40000e+06;1.35806e-01;7.80524e-03;-1.35582e-01
3.50000e+06;1.26502e-01;7.83893e-03;-1.26259e-01
3.60000e+06;1.17566e-01;7.87233e-03;-1.17302e-01
3.70000e+06;1.08967e-01;7.90545e-03;-1.08680e-01
3.80000e+06;1.00681e-01;7.93829e-03;-1.00368e-01
3.90000e+06;9.26835e-02;7.97086e-03;-9.23401e-02
4.00000e+06;8.49543e-02;8.00318e-03;-8.45765e-02
4.10000e+06;7.74751e-02;8.03526e-03;-7.70573e-02
4.20000e+06;7.02299e-02;8.06709e-03;-6.97650e-02
4.30000e+06;6.32048e-02;8.09870e-03;-6.26838e-02
4.40000e+06;5.63885e-02;8.13008e-03;-5.57993e-02
4.50000e+06;4.97719e-02;8.16125e-03;-4.90982e-02
4.60000e+06;4.33498e-02;8.19222e-03;-4.25687e-02
4.70000e+06;3.71218e-02;8.22299e-03;-3.61996e-02
4.80000e+06;3.10963e-02;8.25357e-03;-2.99810e-02
4.90000e+06;2.52982e-02;8.28397e-03;-2.39035e-02
5.00000e+06;1.97898e-02;8.31419e-03;-1.79586e-02
5.10000e+06;1.47299e-02;8.34424e-03;-1.21386e-02
5.20000e+06;1.05617e-02;8.37413e-03;-6.43608e-03
5.30000e+06;8.44618e-03;8.40386e-03;-8.44435e-04
5.40000e+06;9.62686e-03;8.43344e-03;4.64257e-03
5.50000e+06;1.31238e-02;8.46288e-03;1.00307e-02
5.60000e+06;1.75209e-02;8.49219e-03;1.53253e-02
5.70000e+06;2.22294e-02;8.52136e-03;2.05313e-02
5.80000e+06;2.70408e-02;8.55040e-03;2.56534e-02
5.90000e+06;3.18722e-02;8.57933e-03;3.06959e-02
6.00000e+06;3.66869e-02;8.60814e-03;3.56627e-02
6.10000e+06;4.14672e-02;8.63684e-03;4.05578e-02
6.20000e+06;4.62045e-02;8.66543e-03;4.53846e-02
6.30000e+06;5.08945e-02;8.69393e-03;5.01464e-02
6.40000e+06;5.55356e-02;8.72234e-03;5.48464e-02
6.50000e+06;6.01275e-02;8.75066e-03;5.94874e-02
6.60000e+06;6.46707e-02;8.77889e-03;6.40721e-02
6.70000e+06;6.91662e-02;8.80706e-03;6.86032e-02
6.80000e+06;7.36152e-02;8.83515e-03;7.30831e-02
6.90000e+06;7.80191e-02;8.86318e-03;7.75140e-02
7.00000e+06;8.23793e-02;8.89115e-03;8.18981e-02
7.10000e+06;8.66975e-02;8.91908e-03;8.62375e-02
7.20000e+06;9.09751e-02;8.94697e-03;9.05341e-02
7.30000e+06;9.52136e-02;8.97482e-03;9.47897e-02
7.40000e+06;9.94145e-02;9.00266e-03;9.90060e-02
7.50000e+06;1.03579e-01;9.03048e-03;1.03185e-01
7.60000e+06;1.07709e-01;9.05832e-03;1.07327e-01
7.70000e+06;1.11805e-01;9.08617e-03;1.11435e-01
7.80000e+06;1.15869e-01;9.11407e-03;1.15510e-01
7.90000e+06;1.19902e-01;9.14203e-03;1.19553e-01
8.00000e+06;1.23906e-01;9.17010e-03;1.23566e-01
8.10000e+06;1.27881e-01;9.19831e-03;1.27549e-01
8.20000e+06;1.31828e-01;9.22673e-03;1.31504e-01
8.30000e+06;1.35749e-01;9.25542e-03;1.35433e-01
8.40000e+06;1.39644e-01;9.28450e-03;1.39335e-01
8.50000e+06;1.43515e-01;9.31411e-03;1.43213e-01
8.60000e+06;1.47363e-01;9.34448e-03;1.47067e-01
8.70000e+06;1.51189e-01;9.37592e-03;1.50898e-01
8.80000e+06;1.54993e-01;9.40892e-03;1.54707e-01
8.90000e+06;1.58777e-01;9.44423e-03;1.58496e-01
9.00000e+06;1.62541e-01;9.48300e-03;1.62264e-01
9.10000e+06;1.66285e-01;9.52696e-03;1.66012e-01
9.20000e+06;1.70008e-01;9.57846e-03;1.69738e-01
9.30000e+06;1.73705e-01;9.63954e-03;1.73437e-01
9.40000e+06;1.77367e-01;9.70789e-03;1.77101e-01
9.50000e+06;1.80986e-01;9.76935e-03;1.80722e-01
9.60000e+06;1.84569e-01;9.80156e-03;1.84308e-01
9.70000e+06;1.88145e-01;9.80156e-03;1.87889e-01
9.80000e+06;1.91730e-01;9.78970e-03;1.91480e-01
9.90000e+06;1.95318e-01;9.78218e-03;1.95073e-01
1.00000e+07;1.98902e-01;9.78318e-03;1.98661e-01
1.10000e+07;2.34066e-01;9.98526e-03;2.33853e-01
1.20000e+07;2.68173e-01;1.02496e-02;2.67977e-01
