#Datasources: PIPinZ-0424-225458 [2024-04-24 22:54:58]
#Produced on 2024-04-24 22:55:34 by Analysis Result Viewer 2023.0.0.50349 Zuken GmbH - Germany

ProbeID;Data Source;Date;Note;Net;Pin;Probe Set;
1;PIPinZ-0424-225458;4/24/2024 10:54:58 PM;;Power_GND;IC1 (8);Impedance;

1_f;1_Z
(Hz);(dB(Ohm))
1.0000e+06;3.3245e+01
1.1000e+06;3.2416e+01
1.2000e+06;3.1659e+01
1.3000e+06;3.0963e+01
1.4000e+06;3.0319e+01
1.5000e+06;2.9718e+01
1.6000e+06;2.9157e+01
1.7000e+06;2.8629e+01
1.8000e+06;2.8131e+01
1.9000e+06;2.7660e+01
2.0000e+06;2.7213e+01
2.1000e+06;2.6788e+01
2.2000e+06;2.6382e+01
2.3000e+06;2.5995e+01
2.4000e+06;2.5623e+01
2.5000e+06;2.5267e+01
2.6000e+06;2.4924e+01
2.7000e+06;2.4595e+01
2.8000e+06;2.4277e+01
2.9000e+06;2.3970e+01
3.0000e+06;2.3673e+01
3.1000e+06;2.3386e+01
3.2000e+06;2.3108e+01
3.3000e+06;2.2839e+01
3.4000e+06;2.2577e+01
3.5000e+06;2.2323e+01
3.6000e+06;2.2075e+01
3.7000e+06;2.1835e+01
3.8000e+06;2.1600e+01
3.9000e+06;2.1372e+01
4.0000e+06;2.1149e+01
4.1000e+06;2.0932e+01
4.2000e+06;2.0720e+01
4.3000e+06;2.0512e+01
4.4000e+06;2.0309e+01
4.5000e+06;2.0111e+01
4.6000e+06;1.9917e+01
4.7000e+06;1.9727e+01
4.8000e+06;1.9540e+01
4.9000e+06;1.9358e+01
5.0000e+06;1.9179e+01
5.1000e+06;1.9003e+01
5.2000e+06;1.8830e+01
5.3000e+06;1.8661e+01
5.4000e+06;1.8495e+01
5.5000e+06;1.8332e+01
5.6000e+06;1.8171e+01
5.7000e+06;1.8013e+01
5.8000e+06;1.7858e+01
5.9000e+06;1.7705e+01
6.0000e+06;1.7555e+01
6.1000e+06;1.7407e+01
6.2000e+06;1.7261e+01
6.3000e+06;1.7118e+01
6.4000e+06;1.6976e+01
6.5000e+06;1.6837e+01
6.6000e+06;1.6700e+01
6.7000e+06;1.6564e+01
6.8000e+06;1.6431e+01
6.9000e+06;1.6299e+01
7.0000e+06;1.6169e+01
7.1000e+06;1.6040e+01
7.2000e+06;1.5914e+01
7.3000e+06;1.5789e+01
7.4000e+06;1.5665e+01
7.5000e+06;1.5543e+01
7.6000e+06;1.5423e+01
7.7000e+06;1.5303e+01
7.8000e+06;1.5186e+01
7.9000e+06;1.5069e+01
8.0000e+06;1.4954e+01
8.1000e+06;1.4840e+01
