#Design: Design1;Power Bus Pin Impedance Power_GND
#Produced on;2024-05-30 05:35:14;by PI/EMI Analysis 2023.0.0.50417;Zuken GmbH - Germany

Frequency;IC1(8): Magnitude;IC1(8): Re;IC1(8): Img
(Hz);(Ω);;
1.00000e+06;2.41210e-01;6.38246e-03;-2.41125e-01
1.10000e+06;2.15038e-01;6.43670e-03;-2.14942e-01
1.20000e+06;1.92865e-01;6.48954e-03;-1.92756e-01
1.30000e+06;1.73768e-01;6.54114e-03;-1.73645e-01
1.40000e+06;1.57089e-01;6.59168e-03;-1.56951e-01
1.50000e+06;1.42345e-01;6.64130e-03;-1.42190e-01
1.60000e+06;1.29172e-01;6.69014e-03;-1.28999e-01
1.70000e+06;1.17295e-01;6.73831e-03;-1.17101e-01
1.80000e+06;1.06498e-01;6.78592e-03;-1.06282e-01
1.90000e+06;9.66108e-02;6.83307e-03;-9.63689e-02
2.00000e+06;8.74982e-02;6.87985e-03;-8.72273e-02
2.10000e+06;7.90505e-02;6.92635e-03;-7.87465e-02
2.20000e+06;7.11784e-02;6.97265e-03;-7.08361e-02
2.30000e+06;6.38087e-02;7.01882e-03;-6.34215e-02
2.40000e+06;5.68810e-02;7.06494e-03;-5.64406e-02
2.50000e+06;5.03458e-02;7.11108e-03;-4.98411e-02
2.60000e+06;4.41625e-02;7.15731e-03;-4.35787e-02
2.70000e+06;3.82993e-02;7.20370e-03;-3.76157e-02
2.80000e+06;3.27329e-02;7.25033e-03;-3.19198e-02
2.90000e+06;2.74508e-02;7.29727e-03;-2.64631e-02
3.00000e+06;2.24564e-02;7.34458e-03;-2.12214e-02
3.10000e+06;1.77828e-02;7.39234e-03;-1.61735e-02
3.20000e+06;1.35305e-02;7.44063e-03;-1.13009e-02
3.30000e+06;9.97432e-03;7.48953e-03;-6.58742e-03
3.40000e+06;7.80468e-03;7.53912e-03;-2.01862e-03
3.50000e+06;7.96545e-03;7.58949e-03;2.41828e-03
3.60000e+06;1.01851e-02;7.64073e-03;6.73466e-03
3.70000e+06;1.33746e-02;7.69295e-03;1.09407e-02
3.80000e+06;1.69226e-02;7.74625e-03;1.50456e-02
3.90000e+06;2.05923e-02;7.80074e-03;1.90575e-02
4.00000e+06;2.42897e-02;7.85655e-03;2.29840e-02
4.10000e+06;2.79745e-02;7.91381e-03;2.68318e-02
4.20000e+06;3.16284e-02;7.97267e-03;3.06070e-02
4.30000e+06;3.52432e-02;8.03329e-03;3.43154e-02
4.40000e+06;3.88157e-02;8.09584e-03;3.79620e-02
4.50000e+06;4.23455e-02;8.16052e-03;4.15517e-02
4.60000e+06;4.58334e-02;8.22753e-03;4.50889e-02
4.70000e+06;4.92812e-02;8.29713e-03;4.85777e-02
4.80000e+06;5.26909e-02;8.36956e-03;5.20219e-02
4.90000e+06;5.60648e-02;8.44512e-03;5.54251e-02
5.00000e+06;5.94054e-02;8.52414e-03;5.87907e-02
5.10000e+06;6.27153e-02;8.60700e-03;6.21219e-02
5.20000e+06;6.59969e-02;8.69411e-03;6.54217e-02
5.30000e+06;6.92528e-02;8.78594e-03;6.86932e-02
5.40000e+06;7.24855e-02;8.88304e-03;7.19391e-02
5.50000e+06;7.56975e-02;8.98603e-03;7.51622e-02
5.60000e+06;7.88914e-02;9.09560e-03;7.83653e-02
5.70000e+06;8.20697e-02;9.21260e-03;8.15510e-02
5.80000e+06;8.52350e-02;9.33795e-03;8.47219e-02
5.90000e+06;8.83900e-02;9.47276e-03;8.78809e-02
6.00000e+06;9.15373e-02;9.61833e-03;9.10306e-02
6.10000e+06;9.46799e-02;9.77618e-03;9.41739e-02
6.20000e+06;9.78207e-02;9.94809e-03;9.73136e-02
6.30000e+06;1.00963e-01;1.01362e-02;1.00453e-01
6.40000e+06;1.04110e-01;1.03431e-02;1.03595e-01
6.50000e+06;1.07265e-01;1.05718e-02;1.06742e-01
6.60000e+06;1.10432e-01;1.08261e-02;1.09900e-01
6.70000e+06;1.13615e-01;1.11105e-02;1.13070e-01
6.80000e+06;1.16819e-01;1.14306e-02;1.16258e-01
6.90000e+06;1.20048e-01;1.17932e-02;1.19467e-01
7.00000e+06;1.23307e-01;1.22069e-02;1.22701e-01
7.10000e+06;1.26601e-01;1.26823e-02;1.25964e-01
7.20000e+06;1.29936e-01;1.32325e-02;1.29261e-01
7.30000e+06;1.33316e-01;1.38743e-02;1.32592e-01
7.40000e+06;1.36743e-01;1.46280e-02;1.35959e-01
7.50000e+06;1.40220e-01;1.55191e-02;1.39358e-01
7.60000e+06;1.43741e-01;1.65782e-02;1.42782e-01
7.70000e+06;1.47298e-01;1.78410e-02;1.46213e-01
7.80000e+06;1.50867e-01;1.93467e-02;1.49622e-01
7.90000e+06;1.54413e-01;2.11340e-02;1.52960e-01
8.00000e+06;1.57880e-01;2.32329e-02;1.56161e-01
8.10000e+06;1.61193e-01;2.56541e-02;1.59138e-01
8.20000e+06;1.64266e-01;2.83774e-02;1.61797e-01
8.30000e+06;1.67021e-01;3.13500e-02;1.64052e-01
8.40000e+06;1.69398e-01;3.45010e-02;1.65847e-01
8.50000e+06;1.71369e-01;3.77718e-02;1.67155e-01
8.60000e+06;1.72907e-01;4.11397e-02;1.67942e-01
8.70000e+06;1.73935e-01;4.46049e-02;1.68118e-01
